"","country","control_condition","intervention_condition","contrast","pa_effect_size","na_effect_size","optimism_effect_size","ls_effect_size","ladder_effect_size","envy_effect_size","indebted_effect_size","pa_var","na_var","optimism_var","ls_var","ladder_var","envy_var","indebted_var"
"1","Malaysia","measure","text","measure vs text",0.664332191792407,-0.479245845786408,0.022223211512116,-0.182706376450051,-0.0875906686295583,-0.140672818388508,0.231988405351224,0.0478681197364169,0.0467422650537138,0.0455232080878967,0.0456981429222882,0.0455613902905619,0.0456258409107874,0.045806850370277
"2","Malaysia","measure","hk.list","measure vs hk.list",0.584922260878515,-0.466390328691761,0.32617954570969,-0.198624946226175,-0.139207944158876,-0.372293858461801,0.0456161136320071,0.0413372701787293,0.0407323473021563,0.0401928966096426,0.0398679391981085,0.0397704973653589,0.0403492539931814,0.0396865263852907
"3","Malaysia","measure","letter","measure vs letter",0.28158054877398,-0.332510039079182,-0.0789388075672981,-0.551412628951956,-0.388410243838067,-0.281509242395814,0.106987584008098,0.0507279218613683,0.0509036259099109,0.0503174933776172,0.0519906650182214,0.0511300281089554,0.0507276962889324,0.0503467911742
"4","Malaysia","measure","list","measure vs list",0.361159516066194,-0.390596712438707,0.207213675548148,-0.248807912787359,-0.433056036807062,-0.274601595239217,0.117052660368842,0.036767472205778,0.036867155069394,0.0363733339683411,0.036458774824789,0.037024685426363,0.0365195886024571,0.036241639454671
"5","Malaysia","measure","sub","measure vs sub",0.282941851342728,-0.389833907144967,0.158632498004145,-0.0775954290963972,-0.0983504922107377,-0.254025512219246,0.0140262969388987,0.0405973983156713,0.0409499198054687,0.0403283207577389,0.0402344814498645,0.0402523822768323,0.0405212849314409,0.0402059308929486
"6","Malaysia","measure","god.letter","measure vs god.letter",0.3022865316247,-0.788907702536385,0.172641862697436,0.0455208549889957,-0.145891817542233,-0.685316549248545,-0.341815552255402,0.0412110384667565,0.0438397425059622,0.0409062269100929,0.0407689345114954,0.0408640447797471,0.0430837197809756,0.0413370816576574
"7","Malaysia","events","text","events vs text",0.778829896824548,-0.615451359079348,0.392112849706143,0.0880039925579589,0.00444052906101378,-0.339175618715462,0.396636855709498,0.0590418482381795,0.0574816041779389,0.0559403172704873,0.054940263954059,0.0548873531019507,0.055675163937791,0.0559647577389972
"8","Malaysia","events","hk.list","events vs hk.list",0.701448837811205,-0.609146958780199,0.665509632752764,0.0801808966753567,-0.0329555275626254,-0.579972376601471,0.199220140739937,0.0520432480062416,0.0513056232826104,0.0517436906844125,0.0490822632752964,0.0490496845594748,0.0510940863327908,0.0492850662526426
"9","Malaysia","events","letter","events vs letter",0.418084274752507,-0.486160329287752,0.282352084806891,-0.207013265623656,-0.251417391201775,-0.473586065235389,0.256336559997009,0.0609343761952185,0.0613870041729968,0.0602353191290381,0.0599642293669011,0.0601139073996551,0.0612982681098494,0.0601322730422462
"10","Malaysia","events","list","events vs list",0.493142352789926,-0.529931429916103,0.523988261282902,0.0159115048177664,-0.30421571860536,-0.491919989380111,0.284191202991988,0.0468976108162045,0.0471067104845253,0.0470719125820217,0.0455479652377066,0.0460607098347122,0.0468909213486297,0.0459952511481092
