"","outcome","estimate","ci_lower","ci_upper","p_value"
"intrcpt","pa_effect_size",0.361432905707652,0.274687712004667,0.448178099410637,0.000000000000000222044604925031
"intrcpt1","na_effect_size",-0.215076816800357,-0.292687220821163,-0.137466412779551,0.0000000558433788100388
"intrcpt2","optimistic_effect_size",0.238244654886238,0.176181242661588,0.300308067110889,0.0000000000000530686605770825
"intrcpt3","ls_effect_size",0.11420377717633,0.0736840297210124,0.154723524631647,0.0000000330980287621685
"intrcpt4","envy_effect_size",-0.155606326468497,-0.238055372273674,-0.0731572806633211,0.000216353616748322
"intrcpt5","indebted_effect_size",0.151447901986423,0.0694220980761696,0.233473705896676,0.000295931711408626
