Original_1,Original_2,Matched,Match_Method_1,Match_Method_2,resmobility,power-distance,individualism,motivation,uncertainty-avoidance,long-term-orientation,indulgence
Costa Rica,Costa rica,Costa Rica,countrycode,countrycode,0.1613,35,15,21,86,,
Albania,Albania,Albania,countrycode,countrycode,0.0841,90,27,80,70,56,15
Algeria,Algeria,Algeria,countrycode,countrycode,0.083,80,29,35,70,25,32
Argentina,Argentina,Argentina,countrycode,countrycode,0.0863,49,51,56,86,29,62
Armenia,Armenia,Armenia,countrycode,countrycode,0.0766,85,17,50,88,38,25
Austria,Austria,Austria,countrycode,countrycode,0.0775,11,77,79,70,47,63
Azerbaijan,Azerbaijan,Azerbaijan,countrycode,countrycode,0.0495,85,28,50,88,59,22
Bahrain,,Bahrain,countrycode,,0.2033,,,,,,
Bhutan,Bhutan,Bhutan,countrycode,countrycode,0.2035,94,52,32,28,,
Bolivia,Bolivia,Bolivia,countrycode,countrycode,0.1345,78,23,42,87,21,46
Bosnia and Herzegovina,Bosnia and herzegovina,Bosnia & Herzegovina,countrycode,countrycode,0.0503,90,40,48,87,36,44
Bulgaria,Bulgaria,Bulgaria,countrycode,countrycode,0.0527,70,50,40,85,51,16
Chad,,Chad,countrycode,,0.1237,,,,,,
Chile,Chile,Chile,countrycode,countrycode,0.0873,63,49,28,86,12,68
Colombia,Colombia,Colombia,countrycode,countrycode,0.1365,67,29,64,80,6,83
Comoros,,Comoros,countrycode,,0.0602,,,,,,
Congo (Kinshasa),,Congo - Kinshasa,countrycode,,0.1799,,,,,,
Congo Brazzaville,,Congo - Brazzaville,countrycode,,0.1587,,,,,,
Croatia,Croatia,Croatia,countrycode,countrycode,0.0544,73,42,40,80,40,33
Cyprus,,Cyprus,countrycode,,0.0913,,,,,,
Dominican Republic,Dominican republic,Dominican Republic,countrycode,countrycode,0.2215,65,38,65,45,11,54
Ecuador,Ecuador,Ecuador,countrycode,countrycode,0.0648,78,24,63,67,24,
El Salvador,El salvador,El Salvador,countrycode,countrycode,0.0639,66,19,40,94,20,89
Estonia,Estonia,Estonia,countrycode,countrycode,0.0887,40,62,30,60,71,16
Finland,Finland,Finland,countrycode,countrycode,0.1916,33,75,26,59,63,57
Gabon,,Gabon,countrycode,,0.16,,,,,,
Guatemala,Guatemala,Guatemala,countrycode,countrycode,0.097,95,36,37,98,25,
Guinea,,Guinea,countrycode,,0.0968,,,,,,
Haiti,,Haiti,countrycode,,0.1003,,,,,,
Honduras,Honduras,Honduras,countrycode,countrycode,0.081,80,20,40,50,,
Iceland,Iceland,Iceland,countrycode,countrycode,0.189,30,83,10,50,57,67
Iraq,Iraq,Iraq,countrycode,countrycode,0.2232,97,25,53,96,11,23
Ireland,Ireland,Ireland,countrycode,countrycode,0.0781,28,58,68,35,51,65
Ivory Coast,,Côte d’Ivoire,countrycode,,0.1539,,,,,,
Jamaica,Jamaica,Jamaica,countrycode,countrycode,0.2028,45,39,68,13,,
Kuwait,Kuwait,Kuwait,countrycode,countrycode,0.1291,73,28,45,70,31,29
