"","country","control_condition","intervention_condition","contrast","pa_effect_size","na_effect_size","optimistic_effect_size","ls_effect_size","ladder_effect_size","envy_effect_size","indebted_effect_size","gratitude_effect_size","guilty_effect_size","ss_effect_size","pa_var","na_var","optimistic_var","ls_var","ladder_var","envy_var","indebted_var","gratitude_var","guilty_var","ss_var"
"196","Israel","events","list","events vs list",0.876379752973375,-0.591144296685973,0.613056198529514,0.700595270804146,0.365527865808299,-0.363583767297707,-0.23993962027939,1.05466783154929,-0.228346206954261,0.121636893830289,0.0786523849325653,0.0749149751833035,0.0751505673534027,0.0761773158437391,0.0729878237652501,0.0729751678291789,0.0723088987714773,0.0817263381779511,0.0722604252790718,0.071926974776485
"197","Israel","events","mental.sub","events vs mental.sub",0.40544323247281,-0.651984371320809,0.397015955718217,0.0605466512474694,0.191219426094167,-0.343122446446457,-0.18780426619072,0.783306814072394,-0.0346248797107469,-0.192040968023956,0.0701576553303145,0.0723669723276755,0.0701003456213048,0.0687956356881051,0.0690744405350415,0.0697623061650383,0.0690634708188013,0.0739643108406047,0.0687747287840178,0.0690771088781245
"198","Israel","events","letter","events vs letter",0.379553383907358,-0.840403144301902,0.0977230626194331,0.066845497615806,0.436359072051624,-0.551961744625963,0.196989949519867,0.715066022204961,-0.0616615316300184,-0.179299152407735,0.0854167169497873,0.0912731406343394,0.084015560967831,0.0839626289218287,0.0858995134969355,0.087089643994527,0.0843203030849572,0.0892423278339175,0.0839556895877814,0.0842509608541478
"199","Ireland","int.events","list","int.events vs list",0.296998286989252,0.0165301996182429,0.178202464175825,0.03199698104912,0.217295715824164,-0.0542158791222708,0.0327090599047987,0.314524837597181,0.191052202264017,0.0955261011320084,0.067699352234907,0.0669665627767809,0.0672289200329385,0.0669728174375879,0.0673577642819152,0.0669887803938607,0.0669732014026178,0.0677886679931652,0.0672684602475351,0.0670403293475981
"200","Ireland","int.events","naikan","int.events vs naikan",0.338590757713244,-0.099261373850915,0.161016317146915,-0.0661215774736855,0.143921822917798,0.0365628035668387,0.186660981032163,0.43949954302935,-0.042875584574618,0.294618168201188,0.0624349049277136,0.0616288212287132,0.0617524630290884,0.061586661556935,0.0617123648500455,0.0615633136769124,0.0618210481633371,0.0630388752901304,0.061567171193435,0.0622207215725243
"201","Ireland","int.events","letter","int.events vs letter",0.595952870775466,-0.487356680872987,0.380870036979411,-0.0214184197230362,0.204178897328783,-0.0462816797950704,0.545388683730339,0.969911226180013,0.224267380570973,0.616679923532955,0.0822196119981563,0.0811097696416093,0.0802375569121485,0.0788733754370045,0.0792623402805042,0.0788892551085255,0.081675168527926,0.0877438380593308,0.0793435368453511,0.0824567280727138
"202","Ireland","int.events","divine.grat","int.events vs divine.grat",0.518107329244626,-0.00986112909579065,0.385390811527166,0.336261663458589,0.359301018955169,0.0316294763044917,0.337300889019692,0.475486910237431,0,0.262658278852037,0.0736046947773421,0.0712508529988337,0.0725528603299085,0.0722418588272977,0.0723824317738791,0.0712587756471166,0.0722479990327498,0.0732332263316415,0.07125,0.0718551699249957
"203","Ireland","int.events","mental.sub","int.events vs mental.sub",1.0340351242203,-0.460453691012493,0.542721195966047,0.538304827594555,0.82287430840457,0.026378612297104,0.129459978212743,0.976164157911668,0.246863180955344,0.188222760277898,0.0844485212161224,0.0766556936110836,0.0774059544745726,0.0773625525733071,0.0808839165734952,0.0747345866076263,0.0748806234691911,0.083390955989487,0.0752822738705779,0.0750503318467164
"204","Ireland","int.events","text","int.events vs text",0.581734824378793,-0.427090608261524,0.330506406115004,0.186449148580728,0.351608013957938,-0.358374959435101,0.315453992844955,0.99837746777929,0.0598643856988139,0.359668966064657,0.07780476455952,0.0763865007574307,0.075721301637593,0.0750442907332605,0.075852153555742,0.0758958300654753,0.0756329083386727,0.0837896933074688,0.0747608403666115,0.0759042769163836
"205","Ireland","events","list","events vs list",0.576837796761538,-0.440408760776358,0.48135082404097,0.134544757100223,0.0253706422891898,-0.263428375142135,0.0332332764309884,0.649721527976423,-0.388714421007121,0.146511806089276,0.0731158324382447,0.0718984467610154,0.0722294883332641,0.0703558363671083,0.0702026905585733,0.0708057680966423,0.0702067324986801,0.0739000098079229,0.0715224732919833,0.0703853400307959
"206","Ireland","events","naikan","events vs naikan",0.569638023095141,-0.575406499589902,0.405439176116576,0.0100254121254404,-0.0208236469248852,-0.149070533946536,0.186859275775515,0.732588360054539,-0.60917027592491,0.354893430242304,0.0674026234185243,0.0674558908573514,0.0661114415489626,0.0647865994792706,0.0647892858936494,0.0649649987954224,0.0650673727055212,0.0691138994502312,0.0677784375129976,0.0658015094626647
"207","Ireland","events","letter","events vs letter",0.823955479762508,-1.03225799751462,0.64698373801135,0.0823985367404648,0.0170725084368265,-0.236077436969129,0.548093110196124,1.17094291093977,-0.35564337957951,0.682461718773257,0.0888908325660439,0.0927573719740661,0.0862876858122487,0.082169701428307,0.0821047209451805,0.0826591318021964,0.0851058668141819,0.0958128792465383,0.0833666283741246,0.0867593462156468
"208","Ireland","events","divine.grat","events vs divine.grat",0.765694713421799,-0.500850545368703,0.650538839326579,0.493040954058856,0.196311850811188,-0.180718433709289,0.338019916642437,0.751696035369454,-0.642416074439621,0.313721824100802,0.0799113548629312,0.0768054555539871,0.0784012843750635,0.0767335862353125,0.0748395951278092,0.0747851581788594,0.075540698102606,0.0797146746354133,0.078304040219749,0.0753940677217742
"209","Ireland","events","mental.sub","events vs mental.sub",1.24508861635542,-0.992646299177812,0.804637853385861,0.690825819748286,0.693191449284415,-0.17013050816115,0.130086149505505,1.18586323690188,-0.36319719057309,0.242033447628394,0.0928672277842726,0.0874355067524799,0.0841864240585376,0.0825498686559365,0.0825813501187263,0.0782393309307084,0.0781237349353815,0.0914828619579029,0.0792294060214105,0.0785242905457442
"210","Ireland","events","text","events vs text",0.817596832520288,-0.95315785411787,0.593303077018318,0.310055364969724,0.179199533309579,-0.604511661297813,0.318431126824354,1.20467550897611,-0.498364073010739,0.427412148914469,0.084388563533978,0.0866966915562797,0.0813457170017876,0.0788853880416636,0.0782697932665854,0.0814748113041495,0.0789360039376647,0.0919152798933978,0.0803491613101381,0.0797175689617903
"211","Ireland","measure","list","measure vs list",0.17678886057965,0.100250883318096,0.0667401952658005,-0.0725868353986402,-0.151257746473665,-0.0812446949005477,0.13495544560631,0.36577364345803,-0.040238194182892,-0.279157524518319,0.0653781012364991,0.0652071007395718,0.0651619718206852,0.0651685411352745,0.0653105577255575,0.0651792818754058,0.0652729292290293,0.0662050049221726,0.0651391077771931,0.0657545094806132
"212","Ireland","measure","naikan","measure vs naikan",0.241233207865852,-0.0206872522377602,0.0691220055400699,-0.150928287349728,-0.167649905328357,0.0282166134979359,0.285451283914889,0.484546732581194,-0.260634816875659,-0.106665870690669,0.0601490745654593,0.0597179887582048,0.0597504506182401,0.0598847901426613,0.0599245449399321,0.059720736630385,0.0603228728856937,0.0614669258749956,0.0602217390967321,0.0597997025310783
"213","Ireland","measure","letter","measure vs letter",0.450701785850194,-0.439995745344731,0.296973360139691,-0.126148278806913,-0.154437329595165,-0.0698739942183268,0.67733256954785,0.988882495586585,-0.0116385412363774,0.225940026851114,0.0788774677773714,0.0787907782878524,0.077832568476136,0.0771754794908022,0.077247638586498,0.0770751975528211,0.0812015342319326,0.0859207085983623,0.0770320437398582,0.0774948931952344
"214","Ireland","measure","divine.grat","measure vs divine.grat",0.377232764051828,0.0782950941435926,0.300579294851281,0.202504291674157,0.0263526148303204,0.022359343307531,0.44929617688643,0.517587753843242,-0.256685586598325,-0.0970368140266228,0.0706177355387144,0.0694637148903481,0.0701774249812492,0.0697592900291574,0.0694176499627331,0.0694160014875192,0.0711225024564312,0.0716820789679882,0.0699701332683173,0.069491562530259
"215","Ireland","measure","mental.sub","measure vs mental.sub",0.822971027458347,-0.409331350394843,0.469630566401964,0.407973902785583,0.444527012144642,0.0166284822623845,0.232953997208129,0.99400669674687,-0.00317244244377272,-0.186231619025918,0.0788310897161129,0.0743597813159394,0.0748246998640356,0.0743500493066239,0.0746233963169058,0.0728924510703805,0.0733660568457567,0.0815571248138478,0.0728901138595797,0.0731942555397021
