"","country","control_condition","intervention_condition","contrast","pa_effect_size","na_effect_size","optimistic_effect_size","ls_effect_size","ladder_effect_size","envy_effect_size","indebted_effect_size","gratitude_effect_size","guilty_effect_size","ss_effect_size","pa_var","na_var","optimistic_var","ls_var","ladder_var","envy_var","indebted_var","gratitude_var","guilty_var","ss_var"
"1","Poland","events","sub","events vs sub",0.383287244925061,-0.261760821268097,0.222381976140082,0.161159359434967,0.0855796525243329,-0.223810947829945,-0.14087761122295,0.426664275391904,-0.138571248220648,0.222319348066285,0.0334242549404799,0.0331029828725648,0.0330248476912575,0.0329286124282309,0.0328521843044305,0.0330274607939483,0.0329035065356506,0.0335682438411908,0.0329008650991323,0.0330247335486864
"2","Poland","events","list","events vs list",0.434083236287574,-0.362347636429579,0.279350259633897,0.141081824283528,0.119995750146955,-0.117280918357713,-0.222399677006752,0.368939701142943,-0.194567266348669,0.245688400424463,0.0322398594006769,0.0320149285093391,0.031805246453951,0.0315763783972016,0.0315547047708636,0.0315521686832947,0.0316927466459793,0.0320339076174231,0.031647056901104,0.0317356646529495
"3","Poland","events","hk.list","events vs hk.list",0.398493841131814,-0.185193960166026,0.184755999031215,0.163566149464417,0.0722619199782446,-0.140769353089911,0.0129377318416842,0.39963847628351,-0.000920906360026213,0.0758381307485865,0.0365756589766441,0.0360247716379804,0.0360240547189363,0.0359913958962487,0.035896121116728,0.0359606973365971,0.0358737565141894,0.0365797013231318,0.0358730196255315,0.0358984646432612
"4","Poland","events","letter","events vs letter",0.240020044993074,-0.27287611678118,0.151054213550602,-0.0223653324483672,-0.00528898754161699,-0.259248149400624,0.0752275605195315,0.359129642387824,0.0650171824781242,-0.0614089168417765,0.0357335327909658,0.0358074439888216,0.0355809352183032,0.0354830529054266,0.0354809817005744,0.0357756379706552,0.0355056800008924,0.0360465348876462,0.0354993995103471,0.0354973987254799
"5","Poland","events","god.letter","events vs god.letter",0.406259400602573,-0.575739866611856,0.291039607359934,0.17159363015663,0.0174506303055661,-0.240985642359268,-0.328103580541038,0.229279090645295,-0.0780598218132404,0.0254880251821582,0.0378998238930511,0.0386563224995433,0.0375346300406614,0.0372834496809255,0.0371509958199606,0.0374135847078027,0.0376389387066233,0.0373885611695473,0.0371773085985218,0.0371525645241862
"6","Poland","events","text","events vs text",0.503549182678368,-0.318497713437926,0.494403354670104,0.33428901558928,0.350623959508036,-0.306005627870223,0.251563630612046,0.68173143302977,-0.409722398855443,0.603937737414595,0.0365929720777096,0.035925774771083,0.0365529409274157,0.035970986843357,0.0360200570847493,0.0358915583273245,0.0357584215552125,0.0375192701803621,0.0362171416599368,0.0370805993202421
"7","Poland","measure","sub","measure vs sub",-0.034781176315151,0.0139968529526552,-0.018832576984347,-0.0328630078044826,-0.0907794066097097,-0.151692459280594,-0.302859906798303,0.130407512809175,-0.100750390262835,0.00871837684058284,0.0328271263261505,0.0328229713329813,0.0328236219643882,0.0328265945517902,0.0328559425984396,0.0329164741621207,0.0331980869528719,0.0328918656260325,0.0328637694036597,0.0328224799321704
"8","Poland","measure","list","measure vs list",0.00764463543338203,-0.0815639969413992,0.0319105674209421,-0.0567703446119997,-0.0550924801726519,-0.0511072193487554,-0.379134847449284,0.0559193062846734,-0.159471468819188,0.0201074713268199,0.0314982459535313,0.0315242075485948,0.0315020248663746,0.0315107043455646,0.0315099654059748,0.0315082991323449,0.0320639341114033,0.0315103267738637,0.0315981385083204,0.0314996076462567
"9","Poland","measure","hk.list","measure vs hk.list",-0.0186236832582927,0.078389883971966,-0.06232443862734,-0.0387882115144858,-0.111569368176314,-0.073632474678905,-0.117412442216215,0.0936338983623281,0.0368103651106091,-0.156725125231227,0.0358745505702641,0.0359002060230563,0.0358902031989018,0.0358796730648411,0.0359280942974197,0.0358970058788891,0.0359340144641096,0.0359118092664784,0.0358790114614211,0.0359817006733643
"10","Poland","measure","letter","measure vs letter",-0.171820851944863,0.00693797528143517,-0.0734539949280227,-0.218228512099844,-0.191921541580098,-0.18592382679933,-0.0610775370979467,0.0772354643058681,0.10510584604498,-0.273744786874526,0.0356103432434421,0.0354810701308892,0.0355045234373361,0.035689734815066,0.0356424111072992,0.0356324715952344,0.0354972207012267,0.0355070226810889,0.0355293118123446,0.0358095265907137
"11","Poland","measure","god.letter","measure vs god.letter",-0.0196705168950374,-0.304322079021003,0.0513528809143119,-0.0418068296465157,-0.163436774999118,-0.175285868597114,-0.518235889743002,-0.0556654880725359,-0.0414209889737895,-0.201319768001077,0.0371513703869464,0.0375705749257861,0.0371615985194158,0.0371575562131744,0.0372710278877972,0.0372892713255597,0.0383703772423227,0.0371636963747983,0.0371574102464584,0.0373338372949149
"12","Poland","measure","text","measure vs text",0.0939954941551171,-0.0541646823308445,0.259873686175457,0.131190768579118,0.180743212215262,-0.237763901868276,0.129330598943862,0.374441168652766,-0.378351721399809,0.373449540719856,0.035519609680979,0.0354937266103234,0.0357770622241586,0.0355563459302724,0.035624140189051,0.03572880494462,0.0355542204305479,0.0360957984347534,0.0361087099974909,0.036092545674586
"13","Poland","int.events","sub","int.events vs sub",0.037308937029712,-0.0531854703093621,0.0415052191333275,0.157747995846575,0.0388027144848243,0.0111361369035816,0.141068820659391,0.232745440505745,0.0697937265420754,-0.00821510601253385,0.0341964803859754,0.0342026202896922,0.0341978937468002,0.0342968755714938,0.0341969662572108,0.0341910618251328,0.0342755763491375,0.034422029459881,0.0342113487940195,0.0341908202628322
"14","Poland","int.events","list","int.events vs list",0.0821763926849645,-0.156688209623739,0.0947320654400149,0.136451867495239,0.0749879848258325,0.1029251164925,0.038753552491397,0.16817009036891,0.00105075113313326,0.00231258905111425,0.0328940553739297,0.032966998962128,0.0329031586719126,0.0329426871469962,0.0328894252032475,0.0329097956202014,0.0328725343834215,0.032982285782864,0.0328663838352544,0.0328664012286568
"15","Poland","int.events","hk.list","int.events vs hk.list",0.053657688511152,0.0183192788444884,-0.00143640605285296,0.161797703245688,0.0231424445901052,0.0826023424382274,0.266933138339892,0.199973426030468,0.194677994107237,-0.177065224413812,0.0372547086970872,0.0372429329954253,0.0372413888624853,0.0373625760546762,0.0372438588137782,0.0372729679537535,0.0375712557008262,0.0374265152877447,0.037416840057519,0.0373865278922741
"16","Poland","int.events","letter","int.events vs letter",-0.103925392921311,-0.0625049726752161,-0.0180819788382449,-0.0364656926233266,-0.0596532755304988,-0.0230052439518482,0.354863317667848,0.177126523558847,0.26841523505407,-0.292461325838602,0.0368987659672963,0.0368671438769994,0.0368507222547498,0.0368553222032809,0.0368655459030195,0.0368516501597524,0.0374268737055182,0.0369931389858935,0.0371797120733297,0.0372415785352661
"17","Poland","int.events","god.letter","int.events vs god.letter",0.0541909216870586,-0.398736616079102,0.112421313996741,0.171983257402271,-0.033904231031622,-0.0298906578421448,-0.050489053651485,0.0525926142032335,0.118528552992909,-0.221508393151748,0.0385319591311842,0.0392750745264648,0.0385781586352197,0.0386588238208671,0.0385234488497011,0.0385222295856268,0.0385301138385429,0.038531146402972,0.0385848751401428,0.0387516225228193
"18","Poland","int.events","text","int.events vs text",0.167253090108303,-0.122789038801594,0.322063417062448,0.34326626596226,0.32012866702466,-0.0911797060402892,0.54124737609051,0.46464198882397,-0.202246094672417,0.357928458071716,0.0369775416959978,0.0369183836771861,0.0373250244870949,0.0373897349675432,0.0373193250322373,0.0368873588640841,0.0381930239252367,0.0378395535383258,0.0370368531026926,0.0374368957553869
"19","Denmark","measure","hk.list","measure vs hk.list",0.389236289880578,-0.161649226026304,0.568887562714022,0.364417059480512,0.492654188728334,-0.123308898605033,0.00396484352528704,0.289862255396241,-0.0720364851256306,0.575791611663139,0.0486729155571403,0.0479523729302145,0.0496621579114547,0.048565415004729,0.0491970722255976,0.0478895833451586,0.0478022881469345,0.0482850720958955,0.0478320211078832,0.0497075769979543
"20","Denmark","measure","god.letter","measure vs god.letter",0.191329059649196,-0.184526024635322,0.293348691875489,0.165365158979348,0.199732643335723,-0.301122387402839,0.170566360236972,0.158438152505955,-0.364928722845795,0.177449051553714,0.0457499298659326,0.0457357245587185,0.0460246334545927,0.045698478903366,0.0457681871978639,0.0460503069944267,0.0457081858335895,0.0456860178609507,0.0462864085531082,0.0457214929594385
