"","tau_all","tau_eng","difference","ratio"
"pa_effect_size",0.0297224039732749,0.0252188031254834,0.00450360084779154,0.848477907377849
"na_effect_size",0.0371413091658342,0.0381174902400831,-0.00097618107424885,1.02628289352673
"optimistic_effect_size",0.0239149803536343,0.0326574305883248,-0.00874245023469043,1.36556376402634
"ls_effect_size",0.0108586718241668,0.0178438777216644,-0.00698520589749765,1.64328363639755
"envy_effect_size",0.0213768907506344,0.0164045781648253,0.00497231258580908,0.767397764070927
"indebted_effect_size",0.0180254555020518,0.0177175700628028,0.000307885439248961,0.982919408654394
