outcome,contrast,estimate,SE,df,t,p,
,events - measure,0.2,0.07,34.52,3.12,**,
,events - sub,0.39,0.08,36,4.93,***,1
,events - text,0.53,0.08,36.21,6.33,***,1
,god.letter - hk.list,-0.05,0.07,34.85,-0.72, ,
,god.letter - int.events,-0.29,0.08,35.98,-3.62,***,1
,god.letter - letter,0.08,0.07,33.87,1.24, ,
,god.letter - list,-0.1,0.07,33.69,-1.58, ,
,god.letter - measure,-0.25,0.08,35.48,-3.37,**,1
,god.letter - sub,-0.07,0.07,34.93,-0.95, ,
,god.letter - text,0.07,0.07,34.38,1.02, ,
,hk.list - int.events,-0.24,0.07,35.61,-3.32,**,1
,hk.list - letter,0.13,0.06,34.1,2.11,*,
,hk.list - list,-0.05,0.07,34.45,-0.81, ,
,hk.list - measure,-0.2,0.07,35.27,-2.92,**,1
,hk.list - sub,-0.02,0.06,33.88,-0.28, ,
,hk.list - text,0.12,0.07,35.01,1.77,.,
,int.events - letter,0.37,0.07,35.34,5.3,***,
,int.events - list,0.19,0.07,34.92,2.77,**,
,int.events - measure,0.04,0.06,34.13,0.63, ,
,int.events - sub,0.22,0.07,34.62,3.38,**,
,int.events - text,0.37,0.07,35.06,5.15,***,
,letter - list,-0.19,0.06,33.75,-3,**,
,letter - measure,-0.34,0.07,34.98,-4.95,***,
,letter - sub,-0.15,0.06,33.94,-2.38,*,
,letter - text,-0.01,0.07,34.13,-0.14, ,
,list - measure,-0.15,0.07,34.6,-2.27,*,
,list - sub,0.04,0.06,33.96,0.55, ,
,list - text,0.18,0.06,33.91,2.73,*,
,measure - sub,0.18,0.07,34.63,2.79,**,
,measure - text,0.33,0.07,35.5,4.48,***,
,sub - text,0.14,0.07,34.07,2.14,*,
indebtedness,events - god.letter,-0.09,0.07,34.28,-1.27, ,0
,events - hk.list,-0.13,0.07,34.67,-1.99,.,0
,events - int.events,0.06,0.07,35.18,0.85, ,
,events - letter,-0.38,0.08,35.98,-4.79,***,1
,events - list,-0.11,0.07,35.37,-1.58, ,0
,events - measure,0,0.06,34.26,-0.04, ,
,events - sub,-0.09,0.07,34.71,-1.25, ,0
,events - text,-0.34,0.07,35.15,-4.67,***,1
,god.letter - hk.list,-0.05,0.07,34.49,-0.64, ,
,god.letter - int.events,0.15,0.07,35.26,1.99,.,0
,god.letter - letter,-0.29,0.08,36.02,-3.52,**,
,god.letter - list,-0.03,0.07,35.08,-0.36, ,
,god.letter - measure,0.09,0.07,33.76,1.31, ,0
,god.letter - sub,0,0.07,34.86,0.04, ,
,god.letter - text,-0.25,0.07,34.23,-3.55,**,
,hk.list - int.events,0.19,0.06,34.08,3.06,**,1
,hk.list - letter,-0.25,0.08,35.9,-3.21,**,
,hk.list - list,0.02,0.07,34.45,0.29, ,
,hk.list - measure,0.13,0.06,34.37,2.04,*,1
,hk.list - sub,0.05,0.06,33.65,0.77, ,
,hk.list - text,-0.21,0.08,35.82,-2.66,*,
,int.events - letter,-0.44,0.08,36.22,-5.4,***,
,int.events - list,-0.17,0.07,34.86,-2.56,*,
,int.events - measure,-0.06,0.07,34.83,-0.94, ,
,int.events - sub,-0.15,0.06,33.67,-2.33,*,
,int.events - text,-0.4,0.08,36.3,-4.75,***,
,letter - list,0.27,0.08,35.9,3.44,**,
,letter - measure,0.38,0.08,36.31,4.65,***,
,letter - sub,0.3,0.08,36.27,3.57,**,
,letter - text,0.04,0.07,35.29,0.55, ,
,list - measure,0.11,0.07,34.3,1.72,.,
,list - sub,0.03,0.07,34.56,0.44, ,
,list - text,-0.23,0.08,35.61,-2.94,**,
,measure - sub,-0.08,0.06,34.27,-1.28, ,
,measure - text,-0.34,0.07,35.36,-4.66,***,
,sub - text,-0.26,0.08,36.15,-3.08,**,
guilt,events - god.letter,0.25,0.08,34.26,3.34,**,1
,events - hk.list,0.22,0.08,35.01,2.9,**,1
,events - int.events,0.1,0.07,34.06,1.39, ,
,events - letter,0.05,0.07,34.26,0.7, ,0
,events - list,0.22,0.07,33.94,3.12,**,1
,events - measure,0.18,0.08,35.19,2.39,*,
,events - sub,0.2,0.07,34.36,2.7,*,1
,events - text,0.21,0.08,34.7,2.74,**,1
,god.letter - hk.list,-0.03,0.07,33.16,-0.47, ,
,god.letter - int.events,-0.16,0.07,34.28,-2.09,*,1
,god.letter - letter,-0.2,0.08,34.55,-2.63,*,
,god.letter - list,-0.04,0.07,33.4,-0.5, ,
,god.letter - measure,-0.07,0.08,34.58,-0.94, ,0
,god.letter - sub,-0.06,0.07,33.51,-0.8, ,
,god.letter - text,-0.04,0.08,34.95,-0.51, ,
,hk.list - int.events,-0.12,0.07,34.34,-1.73,.,0
,hk.list - letter,-0.17,0.08,35.15,-2.21,*,
,hk.list - list,0,0.07,33.8,-0.04, ,
,hk.list - measure,-0.04,0.07,34.34,-0.54, ,0
,hk.list - sub,-0.02,0.07,33.69,-0.36, ,
,hk.list - text,-0.01,0.08,35.07,-0.12, ,
,int.events - letter,-0.05,0.08,34.94,-0.63, ,
,int.events - list,0.12,0.07,33.45,1.78,.,
,int.events - measure,0.08,0.07,34.44,1.2, ,
,int.events - sub,0.1,0.07,33.63,1.43, ,
,int.events - text,0.11,0.07,34.14,1.56, ,
,letter - list,0.17,0.07,34.59,2.29,*,
,letter - measure,0.13,0.07,34.91,1.77,.,
,letter - sub,0.15,0.08,35.01,1.9,.,
,letter - text,0.16,0.08,35.21,2,.,
,list - measure,-0.04,0.07,33.98,-0.52, ,
,list - sub,-0.02,0.07,33.31,-0.33, ,
,list - text,-0.01,0.07,34.12,-0.09, ,
,measure - sub,0.01,0.07,34.26,0.19, ,
,measure - text,0.03,0.07,34.19,0.41, ,
,sub - text,0.02,0.08,34.38,0.21, ,
envy,events - god.letter,0.18,0.06,35.2,3.02,**,1
,events - hk.list,0.18,0.07,36.18,2.69,*,1
,events - int.events,0.07,0.05,34.3,1.33, ,
,events - letter,0.34,0.06,35.44,5.85,***,1
,events - list,0.16,0.05,34.76,2.88,**,1
,events - measure,0.08,0.05,34.17,1.54, ,
,events - sub,0.19,0.06,35.4,3.23,**,1
,events - text,0.35,0.06,35.07,6.02,***,1
,god.letter - hk.list,-0.01,0.05,34.22,-0.14, ,
,god.letter - int.events,-0.11,0.05,34.25,-2.08,*,1
,god.letter - letter,0.16,0.05,33.1,3.15,**,
,god.letter - list,-0.02,0.05,32.97,-0.49, ,
,god.letter - measure,-0.1,0.05,34.2,-1.92,.,0
,god.letter - sub,0.01,0.05,33.26,0.12, ,
,god.letter - text,0.17,0.06,33.83,3.05,**,
,hk.list - int.events,-0.11,0.05,34.94,-1.92,.,0
,hk.list - letter,0.17,0.06,35.08,3.04,**,
,hk.list - list,-0.02,0.05,34.69,-0.32, ,
,hk.list - measure,-0.1,0.06,35.61,-1.66, ,0
,hk.list - sub,0.01,0.05,34.35,0.27, ,
,hk.list - text,0.18,0.06,34.83,3.12,**,
,int.events - letter,0.27,0.05,34.69,5.13,***,
,int.events - list,0.09,0.05,33.78,1.75,.,
,int.events - measure,0.01,0.05,33.96,0.19, ,
,int.events - sub,0.12,0.05,34.29,2.29,*,
,int.events - text,0.28,0.05,34.27,5.24,***,
,letter - list,-0.19,0.05,34.04,-3.63,***,
,letter - measure,-0.27,0.05,34.66,-4.99,***,
,letter - sub,-0.16,0.05,34.51,-2.9,**,
,letter - text,0.01,0.06,34.72,0.12, ,
,list - measure,-0.08,0.05,34.06,-1.55, ,
,list - sub,0.03,0.05,33.8,0.61, ,
,list - text,0.19,0.05,33.52,3.76,***,
,measure - sub,0.11,0.05,34.2,2.13,*,
,measure - text,0.27,0.06,35.13,4.82,***,
,sub - text,0.16,0.06,34.62,2.92,**,
life satisfaction,events - god.letter,-0.23,0.06,34.03,-3.57,**,1
,events - hk.list,-0.19,0.06,34.02,-3.09,**,1
,events - int.events,-0.06,0.06,34.56,-1.02, ,
,events - letter,-0.16,0.06,34.04,-2.62,*,1
,events - list,-0.18,0.07,34.9,-2.67,*,1
,events - measure,-0.03,0.06,34.07,-0.46, ,
,events - sub,-0.2,0.06,33.7,-3.4,**,1
,events - text,-0.18,0.06,34.33,-2.74,**,1
,god.letter - hk.list,0.04,0.06,34.07,0.67, ,
,god.letter - int.events,0.17,0.06,34,2.62,*,1
,god.letter - letter,0.07,0.07,34.85,1.04, ,
,god.letter - list,0.06,0.06,32.8,0.92, ,
,god.letter - measure,0.2,0.06,34.28,3.14,**,1
,god.letter - sub,0.03,0.06,34,0.41, ,
,god.letter - text,0.05,0.06,33.55,0.85, ,
,hk.list - int.events,0.12,0.06,34.51,1.97,.,0
,hk.list - letter,0.03,0.06,34.11,0.46, ,
,hk.list - list,0.01,0.06,34.39,0.19, ,
,hk.list - measure,0.16,0.06,34.53,2.59,*,0
,hk.list - sub,-0.02,0.06,33.57,-0.29, ,
,hk.list - text,0.01,0.06,33.92,0.18, ,
,int.events - letter,-0.1,0.06,34.44,-1.53, ,
,int.events - list,-0.11,0.06,34.1,-1.82,.,
,int.events - measure,0.04,0.07,35.54,0.54, ,
,int.events - sub,-0.14,0.06,34.83,-2.17,*,
,int.events - text,-0.11,0.06,33.81,-1.82,.,
