"","effect_size","en_c","all_c","c_diff","c_ratio","en_p","all_p","p_diff","p_ratio","en_ci","all_ci","ci_diff","ci_ratio"
"pa_effect_size","pa_effect_size",0.0235092266126412,0.0297224039732749,0.00621317736063373,0.790959796986127,0.00958710979500798,0.00603791622553542,-0.00354919356947256,1.58781762397802,2.45217037410821,4.92262609533627,2.47045572122806,0.498142724354265
"na_effect_size","na_effect_size",0.0358318773872353,0.0371413091658342,0.00130943177859894,0.964744598184399,0.00383793007686086,0.00229578657705707,-0.0015421434998038,1.67172772731368,9.33625070536539,16.1780321990754,6.84178149370997,0.577094333258837
"optimistic_effect_size","optimistic_effect_size",0.029968233868098,0.0239149803536343,-0.00605325351446365,1.25311555455841,0.0020364070270561,0.00121733086584866,-0.000819076161207442,1.67284596504207,14.7162298449839,19.6454234625539,4.92919361756999,0.749092014892654
"ls_effect_size","ls_effect_size",0.0168191860384802,0.0108586718241668,-0.00596051421431349,1.54891742846928,0.000169001073066301,0.000000000000883454230403866,-0.000169001072182847,191295787.88597,99.5211789683839,12291153803.4096,12291153703.8884,0.00000000809697613097777
"envy_effect_size","envy_effect_size",0.0157341267957746,0.0213768907506344,0.00564276395485977,0.736034392434161,0.00780417902745662,0.00634758038089594,-0.00145659864656068,1.22947305258938,2.01611556326667,3.36772273336964,1.35160717010298,0.598658417835189
"indebted_effect_size","indebted_effect_size",0.0166282096909739,0.0180254555020518,0.00139724581107791,0.922484854215258,0.0129131480394741,0.00689357508637132,-0.00601957295310281,1.87321496867476,1.28769604748146,2.61481963657556,1.32712358909409,0.492460753112543
