"","outcome","estimate","ci_lower","ci_upper","qc_estimate","qc_ci_lower","qc_ci_upper"
"1","pa_effect_size",0.366152282015986,0.27827287272751,0.454031691304462,0.386706036703944,0.299188562352569,0.474223511055318
"2","na_effect_size",-0.217908305428452,-0.296424619900402,-0.139391990956501,-0.223063537202826,-0.307570298410425,-0.138556775995227
"3","optimistic_effect_size",0.241183545611482,0.178173098760558,0.304193992462406,0.265540678603647,0.203710795961934,0.327370561245359
"4","ls_effect_size",0.115600230833285,0.074494821600348,0.156705640066222,0.111541973453782,0.0656966848018099,0.157387262105755
"5","envy_effect_size",-0.158055164016617,-0.241493883813787,-0.0746164442194465,-0.169559447776299,-0.255361818825272,-0.0837570767273271
"6","indebted_effect_size",0.153825834438484,0.0705805769190082,0.23707109195796,0.168672945684663,0.0845639535580848,0.252781937811241
