"","effect_size","qc_c","all_c","c_diff","c_ratio","qc_i","all_i","i_diff","i_ratio","qc_ci","all_ci","ci_diff","ci_ratio"
"pa_effect_size","pa_effect_size",0.0275740281879853,0.0297224039732749,0.00214837578528967,0.927718639877804,0.00621433243775191,0.00603791622553542,-0.000176416212216494,1.029218062263,4.43716657648917,4.92262609533627,0.485459518847099,0.901382004351899
"na_effect_size","na_effect_size",0.0352219172395436,0.0371413091658342,0.00191939192629063,0.948321909771122,0.00405410024972289,0.00229578657705707,-0.00175831367266583,1.76588725199351,8.68797392021844,16.1780321990754,7.49005827885692,0.537022909418798
"optimistic_effect_size","optimistic_effect_size",0.0206565788513697,0.0239149803536343,0.00325840150226468,0.863750609279948,0.00146653885068546,0.00121733086584866,-0.000249207984836799,1.20471672232106,14.0852585267105,19.6454234625539,5.56016493584336,0.716974034871706
"ls_effect_size","ls_effect_size",0.0123190704477858,0.0108586718241668,-0.00146039862361908,1.13449145966166,0.0002864714749707,0.000000000000883454230403866,-0.000286471474087245,324262950.033915,43.0027822108496,12291153803.4096,12291153760.4068,0.00000000349867741455815
"envy_effect_size","envy_effect_size",0.0171004263121345,0.0213768907506344,0.00427646443849989,0.799949183986311,0.00763692629759624,0.00634758038089594,-0.00128934591670031,1.20312399990724,2.23917655425285,3.36772273336964,1.1285461791168,0.664893380938279
"indebted_effect_size","indebted_effect_size",0.0177271152875477,0.0180254555020518,0.000298340214504065,0.983448950043448,0.00707211539634935,0.00689357508637132,-0.000178540309978032,1.02589952350429,2.50662132813875,2.61481963657556,0.108198308436808,0.958621119818991
