"","effect_size","qc_c","en_c","all_c","qc_p","en_p","all_p","qc_ci","en_ci","all_ci"
"pa_effect_size","pa_effect_size",0.0275740281278142,0.0235092266800593,0.0297224035172381,0.00621433242040383,0.00958710982696606,0.0060379163720647,4.43716657919344,2.4521703729662,4.92262590034422
"na_effect_size","na_effect_size",0.0352219171977087,0.0358318773826993,0.0371413093232917,0.00405410029631669,0.00383793007626011,0.00229578659744314,8.68797381004837,9.33625070564491,16.1780321240035
"optimistic_effect_size","optimistic_effect_size",0.0206565790320312,0.0299682338956924,0.0239149802993595,0.0014665388107201,0.00203640700624271,0.00121733084620874,14.0852590337439,14.7162300089438,19.64542373492
"ls_effect_size","ls_effect_size",0.012319070415189,0.0168191860102227,0.0108586718682403,0.000286471441123792,0.000169001070583656,0.000000000000883763539484591,43.0027871778871,99.5211802631577,12286852062.9094
"envy_effect_size","envy_effect_size",0.0171004262587846,0.0157341268018876,0.0213768933525478,0.00763692629298388,0.0078041790723605,0.00634758031840614,2.23917654861942,2.01611555244959,3.36772317643008
"indebted_effect_size","indebted_effect_size",0.0177271150470527,0.016628209693731,0.0180254551348614,0.00707211542534252,0.012913148025544,0.00689357506670067,2.5066212838564,1.28769604908409,2.61481959077129
