"","outcome","qc_estimate","qc_ci_lower","qc_ci_upper","en_estimate","en_ci_lower","en_ci_upper","estimate","ci_lower","ci_upper"
"1","pa_effect_size",0.386706036707019,0.299188562458322,0.474223510955716,0.427906826470329,0.322329702609365,0.533483950331293,0.366152282052235,0.278272872525195,0.454031691579276
"2","na_effect_size",-0.223063537206924,-0.307570298562878,-0.13855677585097,-0.279087489200904,-0.377272863100778,-0.180902115301029,-0.217908305419403,-0.296424620088358,-0.139391990750448
"3","optimistic_effect_size",0.265540678582395,0.20371079598035,0.32737056118444,0.269627462368126,0.183277141914712,0.35597778282154,0.241183545616141,0.178173098914123,0.304193992318159
"4","ls_effect_size",0.111541973423982,0.0656966850498525,0.157387261798112,0.13212196489545,0.0696943700989829,0.194549559691916,0.115600230831506,0.0744948215366134,0.156705640126398
"5","envy_effect_size",-0.169559447780185,-0.255361818776237,-0.0837570767841336,-0.210155857508456,-0.302845371854157,-0.117466343162755,-0.158055164103349,-0.241493885441166,-0.074616442765533
"6","indebted_effect_size",0.168672945661705,0.0845639535889644,0.252781937734445,0.172977734603011,0.0633227892917404,0.282632679914282,0.153825834391697,0.070580577200352,0.237071091583041
